"","Susceptible","Infected","Recovered"
"1",629.292586955178,37.1092492122672,14.8640492306121
"2",695.743558261788,43.9831096034305,30.7465535897492
"3",564.761541533,113.002070810811,85.9661845351031
"4",211.76716718377,18.1658696994083,15.0636028093374
"5",496.939711623136,169.04529773539,113.049635044084
"6",529.021917352829,129.41921780493,178.480231629253
"7",324.398061134241,141.781179668566,241.842119667444
"8",293.696484840827,579.695714567971,405.057480391084
"9",565.384836415927,51.4224552407176,7.80535668151334
"10",450.104611858518,120.060356449117,239.405333849411
"11",753.939394087551,571.048594157646,350.530865161584
"12",269.685153391621,84.9146967582899,22.6288471425478
"13",621.474250465274,125.539346947193,48.2390898429331
"14",89.2715849640826,178.029727294535,276.726669187411
"15",444.579021156464,153.576503735931,92.6286571878199
"16",420.398105620674,250.313282466994,57.3754678972531
"17",168.641842080847,342.750649941878,233.645382547188
"18",500.137135512473,591.443731900547,248.374982513924
"19",763.078655377833,1480.75952913331,454.351234268603
"20",684.728428898937,279.364724316771,51.9452283144004
"21",871.775216622676,282.72788699127,182.066715178265
"22",345.796665477883,65.7687284549223,26.8409866612116
"23",787.425201250981,534.116099267327,354.336051382664
"24",532.972846851379,569.707952087026,377.972776869434
"25",643.858553423524,162.205282383808,85.6703474317133
"26",659.447656531835,743.141675572781,1085.05982160739
"27",713.10576095489,369.446422589667,73.2955897532026
"28",460.728035121093,284.414603541696,354.399201282868
"29",489.912765254014,185.478914370492,96.8484046130688
"30",635.7295496933,495.207371594609,176.98970387061
"31",144.27750852754,279.849753301665,115.779816191001
"32",580.769333746356,92.4306630247004,37.9979052489293
"33",323.629343229105,70.5546029427935,75.4231251045338
"34",314.966879387748,184.606611717638,225.101459702147
"35",537.469114432454,98.3745372810349,78.7386572791581
"36",406.139577960315,300.592234131682,147.619240058779
"37",625.084899349503,206.929659352931,78.0775397910741
"38",577.407143271104,418.939827560527,200.157678741778
"39",668.856708379077,962.686045470516,1214.04804602342
"40",664.325691750082,97.9223866579929,145.079030881772
"41",621.767487474834,180.472792168039,89.238557295246
"42",244.188079007294,147.632024371581,32.8348299729736
"43",786.347844947627,301.232152358984,149.246279187013
"44",166.369069375147,120.080307232023,42.922987318974
"45",527.756362396397,243.247534708626,441.228582483436
"46",166.54530060054,341.651824367781,208.588517018017
"47",400.506990069732,393.247949424667,87.1808304741211
"48",735.709201824277,627.367542954946,301.703659824749
"49",817.082142755135,673.496125734882,202.517377294857
"50",845.580957282236,676.009523350109,384.471531488929
"51",384.871368694762,186.072807056001,130.145542483487
"52",406.202655808927,1258.06541655597,208.90630112702
"53",780.476316528916,382.924758855071,143.576638372624
"54",663.745813229969,395.844221649735,277.107660149769
"55",505.467865737213,775.466984740797,721.608386113382
"56",908.798888809273,152.352253197099,68.6911581603289
"57",628.718610587785,515.855690400124,809.826802032743
"58",462.78944076574,296.695927856648,536.060451828379
"59",317.528093721459,623.555147607119,583.745968786493
"60",275.464188667961,142.978418171895,126.170823776246
"61",505.707057262045,152.941922928131,147.978883033659
"62",476.540834018489,202.681777825365,220.752532987847
"63",636.992029399065,262.897121756145,30.73926391207
"64",178.268613726526,45.389632536327,21.84289737703
"65",549.47153816959,266.376369378907,245.947560731206
"66",705.787113129466,657.192975520099,479.8849379073
"67",952.288513678085,360.918005797337,112.099961903298
"68",561.252363249579,91.9622800481109,45.2105276224242
"69",664.331027634301,336.613887693247,178.529213912559
"70",454.194388651707,139.336177537184,118.867203602369
"71",763.194644912157,1061.45012023518,509.633973536274
"72",734.327832494205,186.896971998447,159.465021710338
"73",354.213202306325,241.4519179185,91.7315833939425
"74",789.829281510206,256.018172203435,547.895977810432
"75",747.439999486931,661.0253589868,582.821964760236
"76",412.707320726638,258.175645896,144.310734856091
"77",761.949209640906,384.402252828206,223.081694155367
"78",219.752655952923,90.3465273582108,49.8352815347123
"79",85.4935524826766,99.537914725257,109.788380163559
"80",478.898051986741,256.59521101085,107.048285386427
"81",443.047528703936,386.715103935046,369.237620946863
"82",472.87682425667,83.9073192325318,37.6263993040693
"83",485.792550377065,30.4700151196919,22.0291052776234
"84",757.001892705233,193.371508513751,71.3140838621429
"85",145.940836324646,97.0588803296185,115.709439659196
"86",487.935957783044,578.614225952573,171.529533946873
"87",303.359706451933,116.526683139551,72.1537439191017
"88",424.317761494575,188.913341628426,129.830656100775
"89",537.536125642688,261.680923382134,306.532471832722
"90",598.287506500941,385.639961938424,466.818390390837
"91",688.478146538719,41.2168146195776,43.4707899788967
"92",531.493678114517,1556.45085944864,1125.30961803533
"93",509.100944005198,179.350816084928,105.940005157737
"94",748.999372606313,345.194232095308,93.2497089220452
"95",613.778140423725,127.071199652019,173.762440537249
"96",631.447539445555,151.99370844538,195.09968090033
"97",340.205628762368,223.278585325195,143.617329271178
"98",596.40422843253,204.588126426919,139.28736886446
"99",331.420953204654,44.8389010733564,43.7847372580837
"100",222.542402225995,517.273447477338,510.132741343946
"101",493.192634381713,199.999943088876,47.5984294586089
"102",279.786835058446,168.301011778923,297.705978599366
"103",260.196702102785,433.729687999399,224.775101549778
"104",419.321494147328,217.157138419147,212.80464727396
"105",668.595457243603,334.852853558416,168.747343593061
"106",806.590888101936,659.197098351219,348.978120757649
"107",550.208568633961,162.694399142045,67.4828827070618
"108",783.92279117314,383.602908457896,290.943014098129
"109",305.222593754629,101.653903326772,122.768522806355
"110",477.488333314597,37.4911764664567,23.2136988967876
"111",419.310128276775,679.517036993569,208.009983394967
"112",702.600022166482,564.196239700644,108.046532886068
"113",636.529716887459,224.457337237028,155.911032298038
